Date,GHI,PR
27-11-2019,4.909691667,81.48757264
28-11-2019,5.075216667,65.5584894
29-11-2019,5.35635,78.72331671
30-11-2019,4.935858333,60.77978722
01-12-2019,5.164416667,61.25222241
02-12-2019,4.657616667,61.31309634
03-12-2019,3.829925,60.40035154
04-12-2019,4.460291667,80.60564465
05-12-2019,4.068883333,73.77890815
06-12-2019,5.344333333,83.93623574
07-12-2019,4.428558333,80.91636115
08-12-2019,5.077075,81.46790449
09-12-2019,5.0002,61.30788505
10-12-2019,4.376766667,60.54377212
11-12-2019,5.168558333,68.95062491
12-12-2019,4.644183333,76.98429416
13-12-2019,4.143758333,75.90255117
14-12-2019,4.925783333,84.88059762
15-12-2019,5.208358333,76.07204674
16-12-2019,4.99965,78.14347624
17-12-2019,4.757833333,77.94346736
18-12-2019,4.156325,70.36822921
19-12-2019,3.243291667,78.06714009
20-12-2019,4.259316667,64.69162537
21-12-2019,4.399291667,82.21676331
22-12-2019,4.312083333,60.49224797
23-12-2019,4.073933333,80.25737052
24-12-2019,3.98975,67.74430231
25-12-2019,4.621975,67.63623348
26-12-2019,3.447866667,75.19495773
27-12-2019,4.633091667,75.95471354
28-12-2019,4.370766667,76.32490555
29-12-2019,4.674466667,73.80300758
30-12-2019,3.726258333,84.08749907
31-12-2019,4.288491667,80.96501977
01-01-2020,5.07465,83.70730941
02-01-2020,4.731758333,68.11311075
03-01-2020,4.44045,63.18895586
04-01-2020,3.618475,60.44237102
05-01-2020,4.872125,81.86359152
06-01-2020,4.023158333,70.89008782
07-01-2020,4.219875,67.39285215
08-01-2020,3.9045,64.29792409
09-01-2020,4.863875,65.62512904
10-01-2020,4.460858333,72.34655683
11-01-2020,3.445625,65.55901557
12-01-2020,2.95095,65.92991342
13-01-2020,4.940891667,67.91174794
14-01-2020,5.287825,74.22727911
15-01-2020,5.303925,69.69250469
16-01-2020,4.468491667,72.97746538
17-01-2020,4.801725,80.58311758
18-01-2020,3.778675,77.46247881
19-01-2020,4.791725,66.24289263
20-01-2020,5.269483333,72.96244806
21-01-2020,4.84485,82.20132235
22-01-2020,4.168266667,79.48746197
23-01-2020,4.586733333,83.05266113
24-01-2020,5.462783333,68.40994828
25-01-2020,5.043483333,76.61827091
26-01-2020,5.185541667,61.44432892
27-01-2020,4.759466667,84.4285727
28-01-2020,5.548808333,79.5164149
29-01-2020,4.882208333,74.37671701
30-01-2020,4.496141667,72.74831232
31-01-2020,4.346266667,74.59827958
01-02-2020,3.808933333,71.53914034
02-02-2020,4.807375,81.08305582
03-02-2020,5.049441667,76.69208752
04-02-2020,4.772808333,60.07748076
05-02-2020,5.172516667,79.76798567
06-02-2020,4.62125,68.61560135
07-02-2020,5.256708333,68.221907
08-02-2020,4.639883333,67.14574438
09-02-2020,3.420391667,76.95976768
10-02-2020,4.015516667,81.43525406
11-02-2020,5.081233333,69.42633522
12-02-2020,4.590058333,64.03814869
13-02-2020,5.550083333,70.12644246
14-02-2020,4.707008333,82.65052929
15-02-2020,5.042708333,72.65061161
16-02-2020,4.418366667,75.54118779
17-02-2020,5.067591667,81.3842326
18-02-2020,5.636816667,77.90623055
19-02-2020,6.350425,76.79041536
20-02-2020,5.145483333,83.89612571
21-02-2020,5.7667,83.53209907
22-02-2020,6.243441667,69.68113594
23-02-2020,6.434125,60.06530537
24-02-2020,6.1229,62.6673872
25-02-2020,5.188775,78.0071967
26-02-2020,5.680933333,65.72326849
27-02-2020,5.403366667,65.54940032
28-02-2020,6.12265,64.56595764
29-02-2020,5.796691667,82.30482922
01-03-2020,5.176516667,74.88923695
02-03-2020,4.816608333,63.66429443
03-03-2020,4.1532,72.6161465
04-03-2020,4.285125,70.46245743
05-03-2020,4.463325,62.78228328
06-03-2020,3.399758333,83.10785383
07-03-2020,5.052308333,62.56384478
08-03-2020,4.931158333,78.41201713
09-03-2020,4.916208333,70.01554065
10-03-2020,5.029041667,79.59305672
11-03-2020,4.954483333,70.73858114
12-03-2020,6.153458333,61.86801705
13-03-2020,6.144225,82.27915168
14-03-2020,5.178616667,75.00459407
15-03-2020,6.693333333,64.78337215
16-03-2020,6.1471,81.32610463
17-03-2020,5.987283333,66.79593751
18-03-2020,5.698666667,74.95654113
19-03-2020,5.195333333,73.80255292
20-03-2020,6.153958333,70.69409106
21-03-2020,6.044691667,81.5368371
22-03-2020,6.300491667,72.19813593
23-03-2020,5.735908333,77.8618266
24-03-2020,5.065016667,77.59843007
25-03-2020,5.75035,66.46583975
26-03-2020,5.283633333,65.64295468
27-03-2020,5.239491667,78.16473702
28-03-2020,4.19995,73.16790602
29-03-2020,5.704341667,78.50808763
30-03-2020,5.285141667,75.83693391
31-03-2020,4.233066667,60.67226397
01-04-2020,5.621783333,82.11412349
02-04-2020,5.678833333,74.55928009
03-04-2020,6.185891667,66.57508661
04-04-2020,5.683275,62.87570892
05-04-2020,6.892741667,75.3222915
06-04-2020,5.083058333,81.68313782
07-04-2020,4.884625,61.78406378
08-04-2020,3.9222,77.17234434
09-04-2020,5.728558333,60.87938942
10-04-2020,5.737091667,71.28257684
11-04-2020,4.889091667,82.41476398
12-04-2020,5.596908333,76.130166
13-04-2020,1.867816667,75.91324908
14-04-2020,4.534533333,70.20791599
15-04-2020,4.452058333,66.79622733
16-04-2020,5.429983333,77.3903263
17-04-2020,4.472725,84.3892094
18-04-2020,5.449091667,77.60284402
19-04-2020,5.1757,80.89820241
20-04-2020,5.584291667,79.2948459
21-04-2020,6.457483333,76.03952017
22-04-2020,4.577166667,77.48334589
23-04-2020,5.740241667,62.82706934
24-04-2020,5.062733333,84.1218026
25-04-2020,5.805525,65.11002022
26-04-2020,5.5169,75.44146139
27-04-2020,6.154783333,81.05356964
28-04-2020,5.878933333,64.64080488
29-04-2020,6.08545,74.85887606
30-04-2020,5.207166667,63.15958673
01-05-2020,6.03805,66.45267836
02-05-2020,4.663708333,72.70199367
03-05-2020,5.464791667,61.52043168
04-05-2020,4.592633333,83.57701162
05-05-2020,4.253583333,72.70031641
06-05-2020,4.880816667,64.16616159
07-05-2020,4.841466667,73.66441626
08-05-2020,4.510683333,79.27741162
09-05-2020,4.7767,75.53316584
10-05-2020,5.5035,77.48359923
11-05-2020,3.838958333,62.99092766
12-05-2020,4.668425,83.66946472
13-05-2020,5.32895,61.29004466
14-05-2020,5.247483333,79.66622125
15-05-2020,5.217991667,73.66880954
16-05-2020,4.272483333,60.20311141
17-05-2020,4.650916667,70.90608973
18-05-2020,6.124416667,74.52685415
19-05-2020,6.448066667,67.26114675
20-05-2020,3.399866667,70.21361199
21-05-2020,6.2427,82.32711052
22-05-2020,6.165941667,80.67790069
23-05-2020,1.4891,62.74954517
24-05-2020,5.269075,81.82315425
25-05-2020,4.344958333,75.91676788
26-05-2020,6.278041667,67.16432717
27-05-2020,5.529083333,75.5982992
28-05-2020,4.094625,60.14444599
29-05-2020,3.191908333,78.11811297
30-05-2020,4.843125,74.37539486
31-05-2020,5.349741667,79.16048578
01-06-2020,5.753025,71.53446031
02-06-2020,5.967441667,64.08646177
03-06-2020,6.481433333,80.38717989
04-06-2020,3.482566667,60.82239997
05-06-2020,6.091116667,75.2775677
06-06-2020,4.356791667,80.05087178
07-06-2020,5.720458333,76.95485378
08-06-2020,6.532991667,77.23057649
09-06-2020,3.159608333,61.45226716
10-06-2020,2.94105,80.56177209
11-06-2020,4.143441667,80.49167267
12-06-2020,5.833833333,76.09915651
13-06-2020,4.894733333,79.12138992
14-06-2020,2.969216667,69.28932896
15-06-2020,4.313208333,81.96849911
16-06-2020,4.991241667,77.38420173
17-06-2020,5.370116667,80.78633305
18-06-2020,6.145133333,70.69656628
19-06-2020,3.97175,63.21001611
20-06-2020,5.586458333,65.50143335
21-06-2020,3.6268,60.59029075
22-06-2020,5.206775,71.52459314
23-06-2020,5.4909,76.83622871
24-06-2020,4.751008333,65.04704193
25-06-2020,3.24855,70.15457285
26-06-2020,5.469508333,74.3154578
27-06-2020,5.332758333,74.96356782
28-06-2020,3.041866667,77.37486539
29-06-2020,2.168291667,70.47128212
30-06-2020,2.612158333,65.03854779
01-07-2020,4.446141667,60.27022685
02-07-2020,5.703241667,72.57201088
03-07-2020,4.314441667,60.52503388
04-07-2020,5.0388,69.59664044
05-07-2020,3.555841667,61.4168444
06-07-2020,3.430008333,60.63686397
07-07-2020,5.052775,70.1795035
08-07-2020,4.669158333,70.98429495
09-07-2020,4.819108333,62.52589819
10-07-2020,5.808341667,79.04237853
11-07-2020,5.056216667,61.03987646
12-07-2020,5.706333333,83.20947604
13-07-2020,5.080458333,79.82261729
